Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,Post 1 Item,Post 1 Trial Type,Post 1 Max Time,Post 1 Min Time,,,
0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,,No,,,,,
0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test, using a 0-100 scale.",,Instruct13,,No,,,,,
0,Instruct,-,10,"For  example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,,No,,,,,
0,Instruct,-,15,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up.",,Instruct15,,No,,,,,
0,Instruct,User,-,You will now begin the study. Press Enter when you are ready to begin.,,Instruct16,,No,,,,,
2,Study,4,4,,Study/JOL,BUFFER,2,JOL,5,5,,,
3,Study,4,4,,Study/JOL,BUFFER,3,JOL,5,5,,,
4,Study,4,4,,Study/JOL,BUFFER,4,JOL,5,5,,,
5,Study,4,4,,Study/JOL,BUFFER,5,JOL,5,5,,,
6,Study,4,4,,Study/JOL,BUFFER,6,JOL,5,5,,,
7,Study,4,4,,Study/JOL,Study Phase,7,JOL,5,5,,,
8,Study,4,4,,Study/JOL,Study Phase,8,JOL,5,5,,,
9,Study,4,4,,Study/JOL,Study Phase,9,JOL,5,5,,,
10,Study,4,4,,Study/JOL,Study Phase,10,JOL,5,5,,,
11,Study,4,4,,Study/JOL,Study Phase,11,JOL,5,5,,,
12,Study,4,4,,Study/JOL,Study Phase,12,JOL,5,5,,,
13,Study,4,4,,Study/JOL,Study Phase,13,JOL,5,5,,,
14,Study,4,4,,Study/JOL,Study Phase,14,JOL,5,5,,,
15,Study,4,4,,Study/JOL,Study Phase,15,JOL,5,5,,,
16,Study,4,4,,Study/JOL,Study Phase,16,JOL,5,5,,,
17,Study,4,4,,Study/JOL,Study Phase,17,JOL,5,5,,,
18,Study,4,4,,Study/JOL,Study Phase,18,JOL,5,5,,,
19,Study,4,4,,Study/JOL,Study Phase,19,JOL,5,5,,,
20,Study,4,4,,Study/JOL,Study Phase,20,JOL,5,5,,,
21,Study,4,4,,Study/JOL,Study Phase,21,JOL,5,5,,,
22,Study,4,4,,Study/JOL,Study Phase,22,JOL,5,5,,,
23,Study,4,4,,Study/JOL,Study Phase,23,JOL,5,5,,,
24,Study,4,4,,Study/JOL,Study Phase,24,JOL,5,5,,,
25,Study,4,4,,Study/JOL,Study Phase,25,JOL,5,5,,,
26,Study,4,4,,Study/JOL,Study Phase,26,JOL,5,5,,,
27,Study,4,4,,Study/JOL,Study Phase,27,JOL,5,5,,,
28,Study,4,4,,Study/JOL,Study Phase,28,JOL,5,5,,,
29,Study,4,4,,Study/JOL,Study Phase,29,JOL,5,5,,,
30,Study,4,4,,Study/JOL,Study Phase,30,JOL,5,5,,,
31,Study,4,4,,Study/JOL,Study Phase,31,JOL,5,5,,,
32,Study,4,4,,Study/JOL,Study Phase,32,JOL,5,5,,,
33,Study,4,4,,Study/JOL,Study Phase,33,JOL,5,5,,,
34,Study,4,4,,Study/JOL,Study Phase,34,JOL,5,5,,,
35,Study,4,4,,Study/JOL,Study Phase,35,JOL,5,5,,,
36,Study,4,4,,Study/JOL,Study Phase,36,JOL,5,5,,,
37,Study,4,4,,Study/JOL,Study Phase,37,JOL,5,5,,,
38,Study,4,4,,Study/JOL,Study Phase,38,JOL,5,5,,,
39,Study,4,4,,Study/JOL,Study Phase,39,JOL,5,5,,,
40,Study,4,4,,Study/JOL,Study Phase,40,JOL,5,5,,,
41,Study,4,4,,Study/JOL,Study Phase,41,JOL,5,5,,,
42,Study,4,4,,Study/JOL,Study Phase,42,JOL,5,5,,,
43,Study,4,4,,Study/JOL,Study Phase,43,JOL,5,5,,,
44,Study,4,4,,Study/JOL,Study Phase,44,JOL,5,5,,,
45,Study,4,4,,Study/JOL,Study Phase,45,JOL,5,5,,,
46,Study,4,4,,Study/JOL,Study Phase,46,JOL,5,5,,,
47,Study,4,4,,Study/JOL,BUFFER2,47,JOL,5,5,,,
48,Study,4,4,,Study/JOL,BUFFER2,48,JOL,5,5,,,
49,Study,4,4,,Study/JOL,BUFFER2,49,JOL,5,5,,,
50,Study,4,4,,Study/JOL,BUFFER2,50,JOL,5,5,,,
