Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,Post 1 Item,Post 1 Trial Type,Post 1 Max Time,Post 1 Min Time,,,
0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,,No,,,,,
0,Instruct,-,5,"As you study, you will be asked to rate how often the words in each pair are used together, using a 0-100 scale.",,Instruct13,,No,,,,,
0,Instruct,-,10,"For  example, if you are given the pair CAT - DOG, a rating of 0 indicates that the words DOG and CAT are not used together often in language, while a rating of 100 indicates that DOG and CAT are commonly used together.",,Instruct14,,No,,,,,
0,Instruct,-,15,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up.",,Instruct15,,No,,,,,
0,Instruct,User,-,You will now begin the study. Press Enter when you are ready to begin.,,Instruct16,,No,,,,,
2,Study,4,4,,Study/JOL,BUFFER,2,FREQ,5,5,,,
3,Study,4,4,,Study/JOL,BUFFER,3,FREQ,5,5,,,
4,Study,4,4,,Study/JOL,BUFFER,4,FREQ,5,5,,,
5,Study,4,4,,Study/JOL,BUFFER,5,FREQ,5,5,,,
6,Study,4,4,,Study/JOL,BUFFER,6,FREQ,5,5,,,
7,Study,4,4,,Study/JOL,Study Phase,7,FREQ,5,5,,,
8,Study,4,4,,Study/JOL,Study Phase,8,FREQ,5,5,,,
9,Study,4,4,,Study/JOL,Study Phase,9,FREQ,5,5,,,
10,Study,4,4,,Study/JOL,Study Phase,10,FREQ,5,5,,,
11,Study,4,4,,Study/JOL,Study Phase,11,FREQ,5,5,,,
12,Study,4,4,,Study/JOL,Study Phase,12,FREQ,5,5,,,
13,Study,4,4,,Study/JOL,Study Phase,13,FREQ,5,5,,,
14,Study,4,4,,Study/JOL,Study Phase,14,FREQ,5,5,,,
15,Study,4,4,,Study/JOL,Study Phase,15,FREQ,5,5,,,
16,Study,4,4,,Study/JOL,Study Phase,16,FREQ,5,5,,,
17,Study,4,4,,Study/JOL,Study Phase,17,FREQ,5,5,,,
18,Study,4,4,,Study/JOL,Study Phase,18,FREQ,5,5,,,
19,Study,4,4,,Study/JOL,Study Phase,19,FREQ,5,5,,,
20,Study,4,4,,Study/JOL,Study Phase,20,FREQ,5,5,,,
21,Study,4,4,,Study/JOL,Study Phase,21,FREQ,5,5,,,
22,Study,4,4,,Study/JOL,Study Phase,22,FREQ,5,5,,,
23,Study,4,4,,Study/JOL,Study Phase,23,FREQ,5,5,,,
24,Study,4,4,,Study/JOL,Study Phase,24,FREQ,5,5,,,
