"id","Direction","Platform","Response.RT","Scored","Encoding","List_Type"
"10040238","U","USM",6480,0,"Frequency","Mixed"
"5b1b75312767e20001e506ec","U","Prolific",11100,0,"Frequency","Mixed"
"5eb4841544c2df2f0190e8a0","U","Prolific",3281,0,"Frequency","Mixed"
"5eefc901471579273ed27a1b","U","Prolific",8912,0,"Frequency","Mixed"
"5eefc901471579273ed27a1b","U","Prolific",5507,0,"Frequency","Mixed"
"5efa5d0fb2e9b015a0e9d8e7","U","Prolific",2623,0,"Frequency","Mixed"
"946403","U","USM",6808,0,"Frequency","Mixed"
"979974","U","USM",3677,0,"Frequency","Mixed"
"997529","U","USM",1318,0,"Frequency","Mixed"
"w10004163","U","USM",1595,0,"Frequency","Mixed"
"w10030447","U","USM",3243,0,"Frequency","Mixed"
"w10047076","U","USM",1388,0,"Frequency","Mixed"
"w10051495","U","USM",3897,0,"Frequency","Mixed"
"w10055505","U","USM",1979,0,"Frequency","Mixed"
"w10078459","U","USM",6066,0,"Frequency","Mixed"
"w10092569","U","USM",6336,0,"Frequency","Mixed"
"w10107512","U","USM",10532,0,"Frequency","Mixed"
"w851774_ska","U","USM",33126,0,"Frequency","Mixed"
"10040238","U","USM",4279,100,"Frequency","Mixed"
"5b1b75312767e20001e506ec","U","Prolific",8717,0,"Frequency","Mixed"
"5eb4841544c2df2f0190e8a0","U","Prolific",3637,0,"Frequency","Mixed"
"5eefc901471579273ed27a1b","U","Prolific",9424,100,"Frequency","Mixed"
"5efa5d0fb2e9b015a0e9d8e7","U","Prolific",2366,0,"Frequency","Mixed"
"946403","U","USM",3601,0,"Frequency","Mixed"
"979974","U","USM",8622,100,"Frequency","Mixed"
"979974","U","USM",4966,100,"Frequency","Mixed"
"997529","U","USM",2300,100,"Frequency","Mixed"
"w10004163","U","USM",4311,0,"Frequency","Mixed"
"w10030447","U","USM",5727,100,"Frequency","Mixed"
"w10047076","U","USM",3833,0,"Frequency","Mixed"
"w10051495","U","USM",9055,0,"Frequency","Mixed"
"w10055505","U","USM",4581,0,"Frequency","Mixed"
"w10078459","U","USM",5380,100,"Frequency","Mixed"
"w10092569","U","USM",14167,0,"Frequency","Mixed"
"w10107512","U","USM",2611,0,"Frequency","Mixed"
"w10107512","U","USM",2621,0,"Frequency","Mixed"
"w851774_ska","U","USM",1839,100,"Frequency","Mixed"
"10040238","U","USM",6625,0,"Frequency","Mixed"
"5b1b75312767e20001e506ec","U","Prolific",3330,0,"Frequency","Mixed"
"5b1b75312767e20001e506ec","U","Prolific",3708,0,"Frequency","Mixed"
"5eb4841544c2df2f0190e8a0","U","Prolific",2727,100,"Frequency","Mixed"
"5eefc901471579273ed27a1b","U","Prolific",5734,100,"Frequency","Mixed"
"5efa5d0fb2e9b015a0e9d8e7","U","Prolific",2755,100,"Frequency","Mixed"
"946403","U","USM",4566,0,"Frequency","Mixed"
"979974","U","USM",1570,0,"Frequency","Mixed"
"997529","U","USM",2190,0,"Frequency","Mixed"
"w10004163","U","USM",1862,0,"Frequency","Mixed"
"w10030447","U","USM",3686,0,"Frequency","Mixed"
"w10047076","U","USM",1870,0,"Frequency","Mixed"
"w10051495","U","USM",2493,0,"Frequency","Mixed"
"w10055505","U","USM",3334,0,"Frequency","Mixed"
"w10078459","U","USM",6081,0,"Frequency","Mixed"
"w10092569","U","USM",11485,0,"Frequency","Mixed"
"w10107512","U","USM",5092,100,"Frequency","Mixed"
"w851774_ska","U","USM",18448,0,"Frequency","Mixed"
"10040238","F","USM",2527,100,"Frequency","Mixed"
"5b1b75312767e20001e506ec","F","Prolific",3400,100,"Frequency","Mixed"
"5eb4841544c2df2f0190e8a0","F","Prolific",3096,0,"Frequency","Mixed"
"5eefc901471579273ed27a1b","F","Prolific",4743,0,"Frequency","Mixed"
"5efa5d0fb2e9b015a0e9d8e7","F","Prolific",1952,100,"Frequency","Mixed"
"946403","F","USM",1943,0,"Frequency","Mixed"
"979974","F","USM",3822,0,"Frequency","Mixed"
"997529","F","USM",3580,100,"Frequency","Mixed"
"w10004163","F","USM",7290,0,"Frequency","Mixed"
"w10030447","F","USM",26728,100,"Frequency","Mixed"
"w10047076","F","USM",3278,100,"Frequency","Mixed"
"w10051495","F","USM",4773,0,"Frequency","Mixed"
"w10055505","F","USM",3369,0,"Frequency","Mixed"
"w10078459","F","USM",14821,0,"Frequency","Mixed"
"w10092569","F","USM",6815,0,"Frequency","Mixed"
"w10107512","F","USM",5094,100,"Frequency","Mixed"
"w851774_ska","F","USM",2102,100,"Frequency","Mixed"
"10040238","F","USM",2459,100,"Frequency","Mixed"
"5b1b75312767e20001e506ec","F","Prolific",3737,100,"Frequency","Mixed"
"5eb4841544c2df2f0190e8a0","F","Prolific",2109,100,"Frequency","Mixed"
"5eefc901471579273ed27a1b","F","Prolific",3524,100,"Frequency","Mixed"
"5efa5d0fb2e9b015a0e9d8e7","F","Prolific",1739,100,"Frequency","Mixed"
"946403","F","USM",15480,100,"Frequency","Mixed"
"979974","F","USM",5586,100,"Frequency","Mixed"
"997529","F","USM",3343,100,"Frequency","Mixed"
"997529","F","USM",2572,100,"Frequency","Mixed"
"w10004163","F","USM",3833,100,"Frequency","Mixed"
"w10030447","F","USM",9928,100,"Frequency","Mixed"
"w10030447","F","USM",5002,100,"Frequency","Mixed"
"w10047076","F","USM",2497,100,"Frequency","Mixed"
"w10051495","F","USM",1738,100,"Frequency","Mixed"
"w10055505","F","USM",1814,100,"Frequency","Mixed"
"w10078459","F","USM",5128,0,"Frequency","Mixed"
"w10092569","F","USM",2799,100,"Frequency","Mixed"
"w10107512","F","USM",2943,100,"Frequency","Mixed"
"w851774_ska","F","USM",1966,100,"Frequency","Mixed"
"10040238","U","USM",2850,0,"Frequency","Mixed"
"5b1b75312767e20001e506ec","U","Prolific",6479,0,"Frequency","Mixed"
"5eb4841544c2df2f0190e8a0","U","Prolific",8854,0,"Frequency","Mixed"
"5eefc901471579273ed27a1b","U","Prolific",3849,0,"Frequency","Mixed"
"5efa5d0fb2e9b015a0e9d8e7","U","Prolific",11038,0,"Frequency","Mixed"
"946403","U","USM",3487,0,"Frequency","Mixed"
"979974","U","USM",11081,0,"Frequency","Mixed"
"997529","U","USM",3463,0,"Frequency","Mixed"
"w10004163","U","USM",1832,0,"Frequency","Mixed"
"w10030447","U","USM",6192,0,"Frequency","Mixed"
"w10047076","U","USM",8264,0,"Frequency","Mixed"
"w10047076","U","USM",4132,0,"Frequency","Mixed"
"w10051495","U","USM",2204,0,"Frequency","Mixed"
"w10055505","U","USM",2186,0,"Frequency","Mixed"
"w10078459","U","USM",4310,0,"Frequency","Mixed"
"w10092569","U","USM",4837,0,"Frequency","Mixed"
"w10107512","U","USM",2204,0,"Frequency","Mixed"
"w851774_ska","U","USM",8760,0,"Frequency","Mixed"
"10040238","F","USM",6728,0,"Frequency","Mixed"
"5b1b75312767e20001e506ec","F","Prolific",8184,0,"Frequency","Mixed"
"5eb4841544c2df2f0190e8a0","F","Prolific",3831,100,"Frequency","Mixed"
"5eefc901471579273ed27a1b","F","Prolific",3526,100,"Frequency","Mixed"
"5efa5d0fb2e9b015a0e9d8e7","F","Prolific",2291,100,"Frequency","Mixed"
"946403","F","USM",2778,100,"Frequency","Mixed"
"979974","F","USM",16896,100,"Frequency","Mixed"
"997529","F","USM",3653,100,"Frequency","Mixed"
"w10004163","F","USM",4147,100,"Frequency","Mixed"
"w10030447","F","USM",7249,100,"Frequency","Mixed"
"w10047076","F","USM",2971,100,"Frequency","Mixed"
"w10051495","F","USM",2800,100,"Frequency","Mixed"
"w10055505","F","USM",3760,0,"Frequency","Mixed"
"w10078459","F","USM",4720,100,"Frequency","Mixed"
"w10092569","F","USM",29017,0,"Frequency","Mixed"
