"id","Direction","Platform","Response.RT","Scored","Encoding","List_Type"
"61081e77be18b48a90fa2606","U","Prolific",3063,0,"Frequency","Mixed"
"61096f6e47aaec342fe22642","U","Prolific",2483,0,"Frequency","Mixed"
"610e2081e4714859e1920e21","U","Prolific",4431,0,"Frequency","Mixed"
"610f9a40966119c1b414ed66","U","Prolific",9860,0,"Frequency","Mixed"
"w10004245","U","USM",1177,0,"Frequency","Mixed"
"w10016171_LMP","U","USM",1712,0,"Frequency","Mixed"
"W10016753","U","USM",2958,0,"Frequency","Mixed"
"w10022383_BP","U","USM",7778,0,"Frequency","Mixed"
"w10023445","U","USM",1176,0,"Frequency","Mixed"
"w10039337","U","USM",5629,100,"Frequency","Mixed"
"w10051289","U","USM",9836,0,"Frequency","Mixed"
"w10055876","U","USM",1390,0,"Frequency","Mixed"
"w10058974","U","USM",2743,0,"Frequency","Mixed"
"w10064873","U","USM",1807,0,"Frequency","Mixed"
"w10069706_LMC","U","USM",11481,0,"Frequency","Mixed"
"w217771","U","USM",10978,0,"Frequency","Mixed"
"w217771","U","USM",12006,100,"Frequency","Mixed"
"w331304","U","USM",5337,0,"Frequency","Mixed"
"w609068","U","USM",1216,0,"Frequency","Mixed"
"w956412_mac","U","USM",1982,0,"Frequency","Mixed"
"w966915","U","USM",18002,0,"Frequency","Mixed"
"W987171","U","USM",6930,0,"Frequency","Mixed"
"61081e77be18b48a90fa2606","U","Prolific",3834,100,"Frequency","Mixed"
"61096f6e47aaec342fe22642","U","Prolific",2431,100,"Frequency","Mixed"
"610e2081e4714859e1920e21","U","Prolific",17943,0,"Frequency","Mixed"
"610f9a40966119c1b414ed66","U","Prolific",3664,100,"Frequency","Mixed"
"w10004245","U","USM",1604,0,"Frequency","Mixed"
"w10016171_LMP","U","USM",4274,100,"Frequency","Mixed"
"W10016753","U","USM",3992,0,"Frequency","Mixed"
"w10022383_BP","U","USM",3046,100,"Frequency","Mixed"
"w10023445","U","USM",1379,0,"Frequency","Mixed"
"w10039337","U","USM",44322,0,"Frequency","Mixed"
"w10051289","U","USM",5747,0,"Frequency","Mixed"
"w10055876","U","USM",3277,0,"Frequency","Mixed"
"w10058974","U","USM",2271,100,"Frequency","Mixed"
"w10064873","U","USM",3980,100,"Frequency","Mixed"
"w10069706_LMC","U","USM",6282,100,"Frequency","Mixed"
"w217771","U","USM",3729,0,"Frequency","Mixed"
"w331304","U","USM",4544,100,"Frequency","Mixed"
"w609068","U","USM",3827,0,"Frequency","Mixed"
"w956412_mac","U","USM",1512,0,"Frequency","Mixed"
"w966915","U","USM",14373,0,"Frequency","Mixed"
"W987171","U","USM",2599,0,"Frequency","Mixed"
