Username,ID,Date,Session,Condition_Number,Condition_Description,Output_File,Stimuli_File,Procedure_File,Browser,DeviceType,OS,IP
10113024,sths27glue,2022-01-04T17:50:11+00:00,1,1,"Read Mixed A",Output_Session1_10113024_sths27glue.csv,Mixed_Stim.csv,READVersionA.csv,"Safari 14.1",Desktop,MacOSX,10.0.13.123
10113024,wvy4uhfk14,2022-01-04T17:50:19+00:00,1,2,"Read Mixed B",Output_Session1_10113024_wvy4uhfk14.csv,Mixed_Stim.csv,READVersionB.csv,"Safari 14.1",Desktop,MacOSX,10.0.13.123
w10030640,85z8rp8vwa,2022-01-04T18:18:40+00:00,1,3,"Read Pure F A",Output_Session1_w10030640_85z8rp8vwa.csv,Pure_Forward.csv,READVersionA.csv,"Safari 13.1",Desktop,MacOSX,10.0.13.123
w10126362,js777kqnr7,2022-01-04T19:00:35+00:00,1,4,"Read Pure F B",Output_Session1_w10126362_js777kqnr7.csv,Pure_Forward.csv,READVersionB.csv,"Chrome 96.0",Desktop,MacOSX,10.0.13.123
W10113008_JA,jdhu4w9fdm,2022-01-05T02:12:28+00:00,1,5,"Read Pure U A",Output_Session1_W10113008_JA_jdhu4w9fdm.csv,Pure_Unrelated.csv,READVersionA.csv,"Chrome 96.0",Desktop,Win10,10.0.13.124
981983_HA,yl7uputule,2022-01-05T16:53:25+00:00,1,6,"Read Pure U B",Output_Session1_981983_HA_yl7uputule.csv,Pure_Unrelated.csv,READVersionB.csv,"Chrome 96.0",Desktop,MacOSX,10.0.13.123
W981983_HA,cblgye9khr,2022-01-05T16:56:02+00:00,1,7,"Freq Mixed A",Output_Session1_W981983_HA_cblgye9khr.csv,Mixed_Stim.csv,FREQVersionA.csv,"Chrome 96.0",Desktop,MacOSX,10.0.13.123
W10101259_HT,39jt57jwrk,2022-01-05T21:41:19+00:00,1,8,"Freq Mixed B",Output_Session1_W10101259_HT_39jt57jwrk.csv,Mixed_Stim.csv,FREQVersionB.csv,"Safari 14.1",Desktop,MacOSX,10.0.13.123
w10046647,m4h4tact11,2022-01-06T02:22:41+00:00,1,9,"Freq Pure F A",Output_Session1_w10046647_m4h4tact11.csv,Pure_Forward.csv,FREQVersionA.csv,"Chrome 97.0",Desktop,Win10,10.0.13.123
w10110388_clt,1pyry7n88g,2022-01-06T05:02:05+00:00,1,10,"Freq Pure F B",Output_Session1_w10110388_clt_1pyry7n88g.csv,Pure_Forward.csv,FREQVersionB.csv,"Chrome 96.0",Desktop,MacOSX,10.0.13.123
w10041005,vvrsaatotv,2022-01-06T15:51:00+00:00,1,11,"Freq Pure U A",Output_Session1_w10041005_vvrsaatotv.csv,Pure_Unrelated.csv,FREQVersionA.csv,"Safari 15.1",Desktop,MacOSX,10.0.13.124
w10030668_kk,l0q1ziztjy,2022-01-06T19:41:19+00:00,1,12,"Freq Pure U B",Output_Session1_w10030668_kk_l0q1ziztjy.csv,Pure_Unrelated.csv,FREQVersionB.csv,"Chrome 94.0",Desktop,Win10,10.0.13.124
w10101259,225579oi59,2022-01-06T21:24:48+00:00,1,13,"JOL Mixed A",Output_Session1_w10101259_225579oi59.csv,Mixed_Stim.csv,JOLVersionA.csv,"Safari 14.1",Desktop,MacOSX,10.0.13.123
w10122100ajc,a1skoy4gkk,2022-01-07T00:04:46+00:00,1,14,"JOL Mixed B",Output_Session1_w10122100ajc_a1skoy4gkk.csv,Mixed_Stim.csv,JOLVersionB.csv,"Chrome 96.0",Desktop,Win10,10.0.13.124
W10012171_RFM,0mg256wtr5,2022-01-07T00:25:32+00:00,1,15,"JOL Pure F A",Output_Session1_W10012171_RFM_0mg256wtr5.csv,Pure_Forward.csv,JOLVersionA.csv,"Firefox 95.0",Desktop,Win10,10.0.13.124
W10110388_CLT.,jsntk3u1g8,2022-01-07T04:28:54+00:00,1,16,"JOL Pure F B",Output_Session1_W10110388_CLT._jsntk3u1g8.csv,Pure_Forward.csv,JOLVersionB.csv,"Chrome 96.0",Desktop,MacOSX,10.0.13.123
w10108599,ja3hhsjo17,2022-01-07T08:00:02+00:00,1,17,"JOL Pure U A",Output_Session1_w10108599_ja3hhsjo17.csv,Pure_Unrelated.csv,JOLVersionA.csv,"Chrome 96.0",Desktop,MacOSX,10.0.13.123
