Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,Post 1 Item,Post 1 Trial Type,Post 1 Max Time,Post 1 Min Time
0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,,No,,
0,Instruct,-,5,"As you study, you will be asked to rate your ability to remember the second item in the pair if you were only shown the first at test, using a 0-100 scale.",,Instruct13,,No,,
0,Instruct,-,10,"For  example, if you are given the pair CAT - DOG, a rating of 0 indicates that you would not remember DOG at test, while a rating of 100 indicates full certainty that you would remember the word DOG at test.",,Instruct14,,No,,
0,Instruct,-,15,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up.",,Instruct15,,No,,
0,Instruct,User,-,You will now begin the study. Press Enter when you are ready to begin.,,Instruct16,,No,,
2,Study,4,4,,Study/JOL,BUFFER,,No,,
3,Study,4,4,,Study/JOL,BUFFER,,No,,
4,Study,4,4,,Study/JOL,BUFFER,,No,,
5,Study,4,4,,Study/JOL,BUFFER,,No,,
6,Study,4,4,,Study/JOL,BUFFER,,No,,
7,Study,4,4,,Study/JOL,Study Phase,,No,,
8,Study,4,4,,Study/JOL,Study Phase,,No,,
9,Study,4,4,,Study/JOL,Study Phase,,No,,
10,Study,4,4,,Study/JOL,Study Phase,,No,,
11,Study,4,4,,Study/JOL,Study Phase,,No,,
12,Study,4,4,,Study/JOL,Study Phase,,No,,
13,Study,4,4,,Study/JOL,Study Phase,,No,,
14,Study,4,4,,Study/JOL,Study Phase,,No,,
15,Study,4,4,,Study/JOL,Study Phase,,No,,
16,Study,4,4,,Study/JOL,Study Phase,,No,,
17,Study,4,4,,Study/JOL,Study Phase,,No,,
18,Study,4,4,,Study/JOL,Study Phase,,No,,
19,Study,4,4,,Study/JOL,Study Phase,,No,,
20,Study,4,4,,Study/JOL,Study Phase,,No,,
21,Study,4,4,,Study/JOL,Study Phase,,No,,
22,Study,4,4,,Study/JOL,Study Phase,,No,,
23,Study,4,4,,Study/JOL,Study Phase,,No,,
24,Study,4,4,,Study/JOL,Study Phase,,No,,
25,Study,4,4,,Study/JOL,Study Phase,,No,,
26,Study,4,4,,Study/JOL,Study Phase,,No,,
27,Study,4,4,,Study/JOL,Study Phase,,No,,
28,Study,4,4,,Study/JOL,Study Phase,,No,,
29,Study,4,4,,Study/JOL,Study Phase,,No,,
30,Study,4,4,,Study/JOL,Study Phase,,No,,
31,Study,4,4,,Study/JOL,Study Phase,,No,,
32,Study,4,4,,Study/JOL,Study Phase,,No,,
33,Study,4,4,,Study/JOL,Study Phase,,No,,
34,Study,4,4,,Study/JOL,Study Phase,,No,,
35,Study,4,4,,Study/JOL,Study Phase,,No,,
36,Study,4,4,,Study/JOL,Study Phase,,No,,
37,Study,4,4,,Study/JOL,Study Phase,,No,,
38,Study,4,4,,Study/JOL,Study Phase,,No,,
39,Study,4,4,,Study/JOL,Study Phase,,No,,
40,Study,4,4,,Study/JOL,Study Phase,,No,,
41,Study,4,4,,Study/JOL,Study Phase,,No,,
42,Study,4,4,,Study/JOL,Study Phase,,No,,
43,Study,4,4,,Study/JOL,Study Phase,,No,,
44,Study,4,4,,Study/JOL,Study Phase,,No,,
45,Study,4,4,,Study/JOL,Study Phase,,No,,
46,Study,4,4,,Study/JOL,Study Phase,,No,,
47,Study,4,4,,Study/JOL,BUFFER2,,No,,
48,Study,4,4,,Study/JOL,BUFFER2,,No,,
49,Study,4,4,,Study/JOL,BUFFER2,,No,,
50,Study,4,4,,Study/JOL,BUFFER2,,No,,
51,Study,4,4,,Study/JOL,BUFFER2,,No,,
0,Instruct,User,-,You have completed this section. Please press Enter.,Filler_Instruction,Instruct2,,No,,
0,FreeRecall,120,120,Please list the 50 US states in alphabetical order. The task will automatically advance to the next screen after two minutes.,,Filler1,,No,,
0,Instruct,-,10,"You will now be presented with the first word from each of the previously studied item pairs. Please type the missing word. If you do not know the word, you may guess or press Enter to skip forward to the next pair.",,Instruct3,,No,,
7,Test,User,-,,Recall,Recall1,7,CONF,User,-
8,Test,User,-,,Recall,Recall1,8,CONF,User,-
9,Test,User,-,,Recall,Recall1,9,CONF,User,-
10,Test,User,-,,Recall,Recall1,10,CONF,User,-
11,Test,User,-,,Recall,Recall1,11,CONF,User,-
12,Test,User,-,,Recall,Recall1,12,CONF,User,-
13,Test,User,-,,Recall,Recall1,13,CONF,User,-
