Item,Trial Type,Max Time,Min Time,Text,Procedure Notes,Shuffle,Post 1 Item,Post 1 Trial Type,Post 1 Max Time,Post 1 Min Time,,,
0,Instruct,-,5,"In this section, you will be presented with a series of word pairs.",Initial_Instruct,Instruct1,,No,,,,,
0,Instruct,-,5,"As you study, you will be asked to rate how often the words in each pair are used together, using a 0-100 scale.",,Instruct13,,No,,,,,
0,Instruct,-,10,"For  example, if you are given the pair CAT - DOG, a rating of 0 indicates that the words DOG and CAT are not used together often in language, while a rating of 100 indicates that DOG and CAT are commonly used together.",,Instruct14,,No,,,,,
0,Instruct,-,15,"When making your ratings, it is criticial that you use the full range of the scale. You will be disqualified for only giving ratings of 0 or 100! Each word will be displayed on the computer screen for 4 seconds. You will then have 4 seconds to make your rating. The screen will automatically move to the next pair when time is up.",,Instruct15,,No,,,,,
0,Instruct,User,-,You will now begin the study. Press Enter when you are ready to begin.,,Instruct16,,No,,,,,
52,Study,4,4,,Study/JOL,BUFFER,52,FREQ,5,5,,,
53,Study,4,4,,Study/JOL,BUFFER,53,FREQ,5,5,,,
54,Study,4,4,,Study/JOL,BUFFER,54,FREQ,5,5,,,
55,Study,4,4,,Study/JOL,BUFFER,55,FREQ,5,5,,,
56,Study,4,4,,Study/JOL,BUFFER,56,FREQ,5,5,,,
57,Study,4,4,,Study/JOL,Study Phase,57,FREQ,5,5,,,
59,Study,4,4,,Study/JOL,Study Phase,59,FREQ,5,5,,,
59,Study,4,4,,Study/JOL,Study Phase,59,FREQ,5,5,,,
60,Study,4,4,,Study/JOL,Study Phase,60,FREQ,5,5,,,
61,Study,4,4,,Study/JOL,Study Phase,61,FREQ,5,5,,,
62,Study,4,4,,Study/JOL,Study Phase,62,FREQ,5,5,,,
63,Study,4,4,,Study/JOL,Study Phase,63,FREQ,5,5,,,
64,Study,4,4,,Study/JOL,Study Phase,64,FREQ,5,5,,,
65,Study,4,4,,Study/JOL,Study Phase,65,FREQ,5,5,,,
66,Study,4,4,,Study/JOL,Study Phase,66,FREQ,5,5,,,
67,Study,4,4,,Study/JOL,Study Phase,67,FREQ,5,5,,,
68,Study,4,4,,Study/JOL,Study Phase,68,FREQ,5,5,,,
69,Study,4,4,,Study/JOL,Study Phase,69,FREQ,5,5,,,
70,Study,4,4,,Study/JOL,Study Phase,70,FREQ,5,5,,,
71,Study,4,4,,Study/JOL,Study Phase,71,FREQ,5,5,,,
72,Study,4,4,,Study/JOL,Study Phase,72,FREQ,5,5,,,
73,Study,4,4,,Study/JOL,Study Phase,73,FREQ,5,5,,,
74,Study,4,4,,Study/JOL,Study Phase,74,FREQ,5,5,,,
