"","id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Response.JOL","Procedure.Shuffle.1","Response.RT"
"1","10105109","","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","50","Recall1",1216
"2","5dbec8af4a8eb43937c03d2b","candles","tuck","0.142857142857143",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","76","Recall1",3595
"3","5ec06400238bef0d13c4207d","hit","tuck","0.25",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","0","Recall1",10055
"4","5efa28b727c8ea81556230db","","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","0","Recall1",4174
"5","5f062fad1145f916fd34cebc","stop ","tuck","0.2",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","20","Recall1",7025
"6","945319","dent","tuck","0.25",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","30","Recall1",11230
"7","983960","allow","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","100","Recall1",3209
"8","w10035724","permit","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","5","Recall1",6847
"9","w10042560","go","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","20","Recall1",3722
"10","w10048057_slr","","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","1","Recall1",7325
"11","w10049640","come","tuck","0.25",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","10","Recall1",3483
"12","w10059972_GD","stop","tuck","0.25",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","32","Recall1",3585
"13","w10080447","time","tuck","0.25",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","35","Recall1",4682
"14","w10084909_jar","tuck","tuck","1",1,13,"JOL Mixed A","allow","Study1","U","Study Phase","87","Recall1",5045
"15","w10089223_skc","pass","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","10","Recall1",2022
"16","W10106164","run","tuck","0.25",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","30","Recall1",4427
"17","w920598","free","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","1","Recall1",8388
"18","w975991","","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","60","Recall1",1111
"19","w998682_dan","","tuck","0",0,13,"JOL Mixed A","allow","Study1","U","Study Phase","50","Recall1",2782
"20","10105109","","lion","0",0,13,"JOL Mixed A","art","Study1","U","Study Phase","30","Recall1",1924
"21","10105109","lion","lion","1",1,13,"JOL Mixed A","art","Study1","U","Study Phase2","80","Recall2",10119
"22","5dbec8af4a8eb43937c03d2b","lion","lion","1",1,13,"JOL Mixed A","art","Study1","U","Study Phase","75","Recall1",2392
"23","5ec06400238bef0d13c4207d","","lion","0",0,13,"JOL Mixed A","art","Study1","U","Study Phase","30","Recall1",3161
"24","5efa28b727c8ea81556230db","lion","lion","1",1,13,"JOL Mixed A","art","Study1","U","Study Phase","0","Recall1",2541
"25","5f062fad1145f916fd34cebc","lion","lion","1",1,13,"JOL Mixed A","art","Study1","U","Study Phase","20","Recall1",4931
"26","945319","lion","lion","1",1,13,"JOL Mixed A","art","Study1","U","Study Phase","30","Recall1",4408
"27","983960","art","lion","0",0,13,"JOL Mixed A","art","Study1","U","Study Phase","100","Recall1",1429
"28","w10035724","flower","lion","0.333333333333333",0,13,"JOL Mixed A","art","Study1","U","Study Phase","30","Recall1",4079
"29","w10042560","picture","lion","0.142857142857143",0,13,"JOL Mixed A","art","Study1","U","Study Phase","0","Recall1",3534
"30","w10048057_slr","lion","lion","1",1,13,"JOL Mixed A","art","Study1","U","Study Phase","1","Recall1",2792
"31","w10049640","paint","lion","0.4",0,13,"JOL Mixed A","art","Study1","U","Study Phase","50","Recall1",3472
"32","w10059972_GD","canvas","lion","0.166666666666667",0,13,"JOL Mixed A","art","Study1","U","Study Phase","23","Recall1",8021
"33","w10080447","wall","lion","0.5",0,13,"JOL Mixed A","art","Study1","U","Study Phase","40","Recall1",4597
"34","w10084909_jar","lion","lion","1",1,13,"JOL Mixed A","art","Study1","U","Study Phase","0","Recall1",4358
"35","w10089223_skc","work","lion","0.25",0,13,"JOL Mixed A","art","Study1","U","Study Phase","0","Recall1",6197
"36","W10106164","writer","lion","0.166666666666667",0,13,"JOL Mixed A","art","Study1","U","Study Phase","40","Recall1",5695
"37","w920598","lion","lion","1",1,13,"JOL Mixed A","art","Study1","U","Study Phase","98","Recall1",4424
"38","w975991","","lion","0",0,13,"JOL Mixed A","art","Study1","U","Study Phase","40","Recall1",1003
"39","w998682_dan","","lion","0",0,13,"JOL Mixed A","art","Study1","U","Study Phase","50","Recall1",2266
"40","10105109","brown","bronze","0.666666666666667",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","25","Recall1",10219
"41","5dbec8af4a8eb43937c03d2b","rice","bronze","0.333333333333333",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","75","Recall1",7766
"42","5ec06400238bef0d13c4207d","cold","bronze","0.166666666666667",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","25","Recall1",6806
"43","5efa28b727c8ea81556230db","bronze","bronze","1",1,13,"JOL Mixed A","artery","Study1","U","Study Phase","0","Recall1",3235
"44","5f062fad1145f916fd34cebc","stomach","bronze","0.142857142857143",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","10","Recall1",9225
"45","945319","bronze","bronze","1",1,13,"JOL Mixed A","artery","Study1","U","Study Phase","30","Recall1",3280
"46","983960","art","bronze","0.166666666666667",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","30","Recall1",1564
"47","w10035724","","bronze","0",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","0","Recall1",2710
"48","w10042560","unsure","bronze","0.5",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","40","Recall1",7710
"49","w10048057_slr","lion","bronze","0.333333333333333",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","0","Recall1",2626
"50","w10049640","bronze","bronze","1",1,13,"JOL Mixed A","artery","Study1","U","Study Phase","20","Recall1",3812
"51","w10059972_GD","blood","bronze","0.333333333333333",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","42","Recall1",4818
"52","w10080447","vein","bronze","0.333333333333333",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","35","Recall1",4447
"53","w10084909_jar","bronze","bronze","1",1,13,"JOL Mixed A","artery","Study1","U","Study Phase","0","Recall1",7253
"54","w10089223_skc","","bronze","0",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","0","Recall1",3614
"55","W10106164","war","bronze","0.166666666666667",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","40","Recall1",4828
"56","w920598","vein","bronze","0.333333333333333",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","87","Recall1",3140
"57","w975991","","bronze","0",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","50","Recall1",1022
"58","w998682_dan","","bronze","0",0,13,"JOL Mixed A","artery","Study1","U","Study Phase","95","Recall1",6577
"59","10105109","","cold","0",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","40","Recall1",993
"60","5dbec8af4a8eb43937c03d2b","seeds","cold","0.2",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","95","Recall1",3641
"61","5ec06400238bef0d13c4207d","cold","cold","1",1,13,"JOL Mixed A","bitter","Study1","F","Study Phase","80","Recall1",2993
"62","5efa28b727c8ea81556230db","","cold","0",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","100","Recall1",4751
"63","5f062fad1145f916fd34cebc","cold","cold","1",1,13,"JOL Mixed A","bitter","Study1","F","Study Phase","100","Recall1",3517
"64","945319","cold","cold","1",1,13,"JOL Mixed A","bitter","Study1","F","Study Phase","50","Recall1",1907
"65","983960","sweet","cold","0",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","0","Recall1",4150
"66","w10035724","sweet","cold","0",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","45","Recall1",7611
"67","w10042560","cold","cold","1",1,13,"JOL Mixed A","bitter","Study1","F","Study Phase","40","Recall1",3668
"68","w10048057_slr","butter","cold","0",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","35","Recall1",3668
"69","w10049640","cold","cold","1",1,13,"JOL Mixed A","bitter","Study1","F","Study Phase","80","Recall1",2404
"70","w10059972_GD","cold","cold","1",1,13,"JOL Mixed A","bitter","Study1","F","Study Phase","47","Recall1",5456
"71","w10080447","sour","cold","0.25",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","90","Recall1",7518
"72","w10084909_jar","cold","cold","1",1,13,"JOL Mixed A","bitter","Study1","F","Study Phase","80","Recall1",3514
"73","w10089223_skc","sad","cold","0.25",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","0","Recall1",2326
"74","W10106164","sweet","cold","0",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","80","Recall1",3218
"75","w920598","sweet","cold","0",0,13,"JOL Mixed A","bitter","Study1","F","Study Phase","98","Recall1",3504
"76","w975991","cold","cold","1",1,13,"JOL Mixed A","bitter","Study1","F","Study Phase","76","Recall1",2125
"77","w998682_dan","cold","cold","1",1,13,"JOL Mixed A","bitter","Study1","F","Study Phase","80","Recall1",4583
"78","10105109","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","40","Recall1",4791
"79","5dbec8af4a8eb43937c03d2b","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","94","Recall1",3362
"80","5ec06400238bef0d13c4207d","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","80","Recall1",2445
"81","5efa28b727c8ea81556230db","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","10","Recall1",1547
"82","5f062fad1145f916fd34cebc","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","100","Recall1",4332
"83","945319","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","75","Recall1",1612
"84","983960","car","water","0.4",0,13,"JOL Mixed A","bridge","Study1","F","Study Phase","30","Recall1",3794
"85","w10035724","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","77","Recall1",6375
"86","w10042560","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","50","Recall1",2087
"87","w10048057_slr","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","30","Recall1",2132
"88","w10049640","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","86","Recall1",1909
"89","w10059972_GD","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","56","Recall1",12194
"90","w10080447","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","85","Recall1",3815
"91","w10084909_jar","","water","0",0,13,"JOL Mixed A","bridge","Study1","F","Study Phase","5","Recall1",1497
"92","w10089223_skc","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","70","Recall1",1799
"93","W10106164","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","90","Recall1",2611
"94","w920598","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","99","Recall1",2207
"95","w975991","water","water","1",1,13,"JOL Mixed A","bridge","Study1","F","Study Phase","99","Recall1",1562
"96","w998682_dan","","water","0",0,13,"JOL Mixed A","bridge","Study1","F","Study Phase","60","Recall1",3382
"97","10105109","","would","0",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","50","Recall1",3753
"98","5dbec8af4a8eb43937c03d2b","free","would","0",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","12","Recall1",4660
"99","5ec06400238bef0d13c4207d","money","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","10","Recall1",4974
"100","5efa28b727c8ea81556230db","money","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","0","Recall1",4388
"101","5f062fad1145f916fd34cebc","wages","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","10","Recall1",6097
"102","945319","money","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","50","Recall1",19567
"103","983960","cash","would","0",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","100","Recall1",1266
"104","w10035724","check","would","0",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","43","Recall1",9154
"105","w10042560","money","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","20","Recall1",2394
"106","w10048057_slr","going","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","8","Recall1",16646
"107","w10049640","money","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","15","Recall1",1896
"108","w10059972_GD","check ","would","0",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","25","Recall1",10883
"109","w10080447","money","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","35","Recall1",9079
"110","w10084909_jar","","would","0",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","1","Recall1",4837
"111","w10089223_skc","card","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","0","Recall1",4777
"112","W10106164","want","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","30","Recall1",5944
"113","w920598","money","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","3","Recall1",2120
"114","w975991","money","would","0.2",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","59","Recall1",4923
"115","w998682_dan","cold","would","0.6",0,13,"JOL Mixed A","cash","Study1","U","Study Phase","50","Recall1",4583
"116","10105109","","hammer","0",0,13,"JOL Mixed A","chisel","Study1","F","Study Phase","50","Recall1",1336
"117","5dbec8af4a8eb43937c03d2b","abs","hammer","0.166666666666667",0,13,"JOL Mixed A","chisel","Study1","F","Study Phase","87","Recall1",2648
"118","5ec06400238bef0d13c4207d","","hammer","0",0,13,"JOL Mixed A","chisel","Study1","F","Study Phase","10","Recall1",2826
"119","5efa28b727c8ea81556230db","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","65","Recall1",2171
"120","5f062fad1145f916fd34cebc","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","50","Recall1",6743
"121","945319","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","75","Recall1",2049
"122","983960","chisel","hammer","0.333333333333333",0,13,"JOL Mixed A","chisel","Study1","F","Study Phase","100","Recall1",2471
"123","w10035724","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","52","Recall1",5806
"124","w10042560","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","20","Recall1",3974
"125","w10048057_slr","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","50","Recall1",1906
"126","w10049640","saw","hammer","0.166666666666667",0,13,"JOL Mixed A","chisel","Study1","F","Study Phase","60","Recall1",2614
"127","w10059972_GD","hammer ","hammer","0.857142857142857",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","73","Recall1",4527
"128","w10080447","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","80","Recall1",4005
"129","w10084909_jar","","hammer","0",0,13,"JOL Mixed A","chisel","Study1","F","Study Phase","11","Recall1",2208
"130","w10089223_skc","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","0","Recall1",2284
"131","W10106164","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","55","Recall1",3109
"132","w920598","rock","hammer","0.166666666666667",0,13,"JOL Mixed A","chisel","Study1","F","Study Phase","100","Recall1",2817
"133","w975991","hammar","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","100","Recall1",2008
"134","w998682_dan","hammer","hammer","1",1,13,"JOL Mixed A","chisel","Study1","F","Study Phase","75","Recall1",4420
"135","10105109","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","90","Recall1",5379
"136","5dbec8af4a8eb43937c03d2b","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",3549
"137","5ec06400238bef0d13c4207d","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",2796
"138","5efa28b727c8ea81556230db","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",1611
"139","5f062fad1145f916fd34cebc","money","card","0",0,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",7302
"140","945319","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",1892
"141","945319","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase2","100","Recall2",1849
"142","983960","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",1590
"143","w10035724","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",3271
"144","w10042560","care","card","0.75",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",2104
"145","w10048057_slr","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",2106
"146","w10049640","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","95","Recall1",2693
"147","w10059972_GD","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","87","Recall1",5420
"148","w10080447","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","95","Recall1",3872
"149","w10084909_jar","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",3602
"150","w10089223_skc","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",2430
"151","W10106164","cash","card","0.5",0,13,"JOL Mixed A","credit","Study1","F","Study Phase","99","Recall1",3055
"152","w920598","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",2029
"153","w975991","card","card","1",1,13,"JOL Mixed A","credit","Study1","F","Study Phase","100","Recall1",2772
"154","w998682_dan","","card","0",0,13,"JOL Mixed A","credit","Study1","F","Study Phase","45","Recall1",3382
"155","10105109","","business","0",0,13,"JOL Mixed A","death","Study1","U","Study Phase","50","Recall1",2150
"156","5dbec8af4a8eb43937c03d2b","star","business","0.125",0,13,"JOL Mixed A","death","Study1","U","Study Phase","36","Recall1",6930
"157","5ec06400238bef0d13c4207d","hornet","business","0.25",0,13,"JOL Mixed A","death","Study1","U","Study Phase","20","Recall1",5859
"158","5efa28b727c8ea81556230db","","business","0",0,13,"JOL Mixed A","death","Study1","U","Study Phase","65","Recall1",8047
"159","5f062fad1145f916fd34cebc","bed","business","0.25",0,13,"JOL Mixed A","death","Study1","U","Study Phase","20","Recall1",7716
"160","945319","row","business","0",0,13,"JOL Mixed A","death","Study1","U","Study Phase","20","Recall1",7865
"161","983960","alive","business","0.25",0,13,"JOL Mixed A","death","Study1","U","Study Phase","1","Recall1",4449
"162","w10035724","","business","0",0,13,"JOL Mixed A","death","Study1","U","Study Phase","20","Recall1",1536
"163","w10042560","dead","business","0.125",0,13,"JOL Mixed A","death","Study1","U","Study Phase","20","Recall1",3215
"164","w10048057_slr","work","business","0",0,13,"JOL Mixed A","death","Study1","U","Study Phase","53","Recall1",10464
"165","w10049640","money","business","0.25",0,13,"JOL Mixed A","death","Study1","U","Study Phase","40","Recall1",7588
"166","w10059972_GD","scare","business","0.25",0,13,"JOL Mixed A","death","Study1","U","Study Phase","23","Recall1",7735
"167","w10080447","penalty","business","0.25",0,13,"JOL Mixed A","death","Study1","U","Study Phase","35","Recall1",7094
"168","w10084909_jar","ref","business","0.125",0,13,"JOL Mixed A","death","Study1","U","Study Phase","6","Recall1",4519
"169","w10089223_skc","end","business","0.25",0,13,"JOL Mixed A","death","Study1","U","Study Phase","0","Recall1",2620
"170","W10106164","work","business","0",0,13,"JOL Mixed A","death","Study1","U","Study Phase","30","Recall1",6238
"171","w920598","office","business","0.25",0,13,"JOL Mixed A","death","Study1","U","Study Phase","2","Recall1",3557
"172","w975991","hide","business","0.25",0,13,"JOL Mixed A","death","Study1","U","Study Phase","50","Recall1",7744
"173","w998682_dan","","business","0",0,13,"JOL Mixed A","death","Study1","U","Study Phase","45","Recall1",6665
"174","10105109","talk","sight","0.2",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","50","Recall1",4950
"175","5dbec8af4a8eb43937c03d2b","room","sight","0",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","44","Recall1",6733
"176","5ec06400238bef0d13c4207d","discussion","sight","0.2",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","0","Recall1",4659
"177","5efa28b727c8ea81556230db","talk","sight","0.2",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","0","Recall1",3778
"178","5f062fad1145f916fd34cebc","business","sight","0.25",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","30","Recall1",5325
"179","945319","sight","sight","1",1,13,"JOL Mixed A","debate","Study1","U","Study Phase","30","Recall1",3074
"180","983960","debate","sight","0.166666666666667",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","100","Recall1",1625
"181","w10035724","","sight","0",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","5","Recall1",3169
"182","w10035724","","sight","0",0,13,"JOL Mixed A","debate","Study1","U","Study Phase2","10","Recall2",3410
"183","w10042560","law","sight","0",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","10","Recall1",9550
"184","w10048057_slr","","sight","0",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","0","Recall1",9347
"185","w10049640","talk","sight","0.2",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","40","Recall1",2734
"186","w10059972_GD","","sight","0",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","46","Recall1",3060
"187","w10080447","sight","sight","1",1,13,"JOL Mixed A","debate","Study1","U","Study Phase","40","Recall1",16817
"188","w10084909_jar","speech","sight","0.166666666666667",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","0","Recall1",4708
"189","w10089223_skc","discussion","sight","0.2",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","10","Recall1",3100
"190","W10106164","people","sight","0",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","30","Recall1",18011
"191","w920598","time","sight","0.4",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","87","Recall1",4704
"192","w975991","discussion","sight","0.2",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","25","Recall1",3498
"193","w998682_dan","","sight","0",0,13,"JOL Mixed A","debate","Study1","U","Study Phase","75","Recall1",5423
"194","10105109","bad","bad","1",1,13,"JOL Mixed A","delinquent","Study1","F","Study Phase","0","Recall1",8036
"195","5dbec8af4a8eb43937c03d2b","bad","bad","1",1,13,"JOL Mixed A","delinquent","Study1","F","Study Phase","98","Recall1",3449
"196","5ec06400238bef0d13c4207d","bad","bad","1",1,13,"JOL Mixed A","delinquent","Study1","F","Study Phase","20","Recall1",2417
"197","5efa28b727c8ea81556230db","bad","bad","1",1,13,"JOL Mixed A","delinquent","Study1","F","Study Phase","2","Recall1",1615
